id;nazwa;info_zab;cena
"ZBRLC1000B";"Brother  LC 1000 black";"0.0";"0.0"
"ZBRLC1000C";"Brother  LC 1000 cyan";"0.0";"0.0"
"ZBRLC1000M";"Brother  LC 1000 magenta";"0.0";"0.0"
"ZBRLC1000Y";"Brother  LC 1000 yellow";"0.0";"0.0"
"ZBRLC1100B";"Brother  LC 1100 black";"0.0";"0.0"
"ZBRLC1100C";"Brother  LC 1100 cyan";"0.0";"0.0"
"ZBRLC1100M";"Brother  LC 1100 magenta";"0.0";"0.0"
"ZBRLC1100Y";"Brother  LC 1100 yellow";"0.0";"0.0"
"ZBRLC1100HYB";"Brother  LC 1100HY black";"0.0";"0.0"
"ZBRLC1100HYC";"Brother  LC 1100HY cyan";"0.0";"0.0"
"ZBRLC1100HYM";"Brother  LC 1100HY magenta";"0.0";"0.0"
"ZBRLC1100HYY";"Brother  LC 1100HY yellow";"0.0";"0.0"
"ZCBRLC121B";"Brother  LC 121 black";"0.0";"0.0"
"ZCBRLC121C";"Brother  LC 121 cyan";"0.0";"0.0"
"ZCBRLC121M";"Brother  LC 121 magenta";"0.0";"0.0"
"ZCBRLC121Y";"Brother  LC 121 yellow";"0.0";"0.0"
"ZCBRLC1220B";"Brother  LC 1220 black";"0.0";"0.0"
"ZCBRLC1220C";"Brother  LC 1220 cyan";"0.0";"0.0"
"ZCBRLC1220M";"Brother  LC 1220 magenta";"0.0";"0.0"
"ZCBRLC1220Y";"Brother  LC 1220 yellow";"0.0";"0.0"
"ZCBRLC123B";"Brother  LC 123 black";"0.0";"0.0"
"ZCBRLC123C";"Brother  LC 123 cyan";"0.0";"0.0"
"ZCBRLC123M";"Brother  LC 123 magenta";"0.0";"0.0"
"ZCBRLC123Y";"Brother  LC 123 yellow";"0.0";"0.0"
"ZGBRLC1240B";"Brother  LC 1240 black";"0.0";"0.0"
"ZGBRLC1240C";"Brother  LC 1240 cyan";"0.0";"0.0"
"ZGBRLC1240M";"Brother  LC 1240 magenta";"0.0";"0.0"
"ZGBRLC1240Y";"Brother  LC 1240 yellow";"0.0";"0.0"
"ZCBRLC125XLC";"Brother  LC 125XL cyan";"0.0";"0.0"
"ZCBRLC125XLM";"Brother  LC 125XL magenta";"0.0";"0.0"
"ZCBRLC125XLY";"Brother  LC 125XL yellow";"0.0";"0.0"
"ZCBRLC127XLB";"Brother  LC 127XL black";"0.0";"0.0"
"ZCBRLC1280B";"Brother  LC 1280 black";"0.0";"0.0"
"ZCBRLC1280C";"Brother  LC 1280 cyan";"0.0";"0.0"
